Date,Time,Guest_ID,Contact,Party_Size,Previous_Visits,Notes,Type,Shift,Wait_Time_Min,Table_Turn_Time_Min,Bill_Amount,Deposit,Status,Rating,Feedback
2022-01-01,18:30,Guest_4109,403-707-1497,5,1,Anniversary,Reservation,Dinner,0,80,0.0,32.330022197433095,Cancelled,3.0,Average
2022-01-01,13:00,Guest_2762,403-463-7622,5,6,None,Reservation,Lunch,0,116,427.63117774113437,8.033979235592259,Completed,1.0,Good
2022-01-01,19:30,Guest_3872,403-882-2504,5,8,None,Reservation,Dinner,0,71,410.65059930032913,19.604678845228634,Completed,5.0,Excellent
2022-01-01,11:30,Guest_1505,403-515-9924,5,4,None,Walk-in,Lunch,21,109,387.2417026913639,0.0,Completed,4.0,Excellent
2022-01-01,11:30,Guest_4323,403-470-7999,1,4,None,Reservation,Lunch,0,78,318.7815891590612,0.0,Completed,4.0,Excellent
2022-01-01,12:00,Guest_1574,403-218-8538,4,3,None,Walk-in,Lunch,3,117,355.15122392939395,0.0,Completed,4.0,Good
2022-01-01,12:30,Guest_1379,403-849-9039,3,0,Birthday,Walk-in,Lunch,0,71,217.62901919905966,0.0,Completed,5.0,Excellent
2022-01-01,19:30,Guest_4463,403-283-8755,7,7,None,Reservation,Dinner,0,93,52.2619486744114,3.0048205189085078,Completed,5.0,Average
2022-01-01,19:00,Guest_3082,403-310-9002,5,2,None,Reservation,Dinner,0,74,439.23317230184085,12.472910214661614,Completed,5.0,Poor
2022-01-01,12:00,Guest_4236,403-570-8299,7,6,Vegan,Reservation,Lunch,0,61,203.9484293886173,21.497880988991085,Completed,5.0,Excellent
2022-01-01,11:30,Guest_4980,403-393-6884,7,9,None,Reservation,Lunch,0,105,312.6222666536449,19.506011734416962,Completed,4.0,Excellent
2022-01-01,18:30,Guest_1988,403-190-9721,5,2,None,Reservation,Dinner,0,62,302.2609140504719,47.132958848331526,Completed,2.0,Good
2022-01-01,17:30,Guest_3309,403-792-1310,5,7,Birthday,Reservation,Dinner,0,64,0.0,29.74236897509548,Cancelled,5.0,Excellent
2022-01-01,18:30,Guest_1626,403-816-1890,7,5,None,Walk-in,Dinner,6,90,158.03183321940492,0.0,Completed,2.0,Excellent
2022-01-01,19:30,Guest_1612,403-996-6558,6,7,None,Reservation,Dinner,0,116,211.64393614221066,41.17761133059095,Completed,5.0,Good
2022-01-01,19:00,Guest_3759,403-884-5624,6,9,Anniversary,Walk-in,Dinner,15,73,304.5596774634526,0.0,Completed,3.0,Excellent
2022-01-01,18:00,Guest_3581,403-894-1268,1,4,None,Reservation,Dinner,0,64,357.73990332590444,0.0,Completed,4.0,Excellent
2022-01-01,17:30,Guest_0986,403-631-5485,6,1,None,Reservation,Dinner,0,73,150.7921456392865,11.95712727172616,Completed,4.0,Poor
2022-01-01,12:30,Guest_2467,403-711-9095,2,7,None,Reservation,Lunch,0,66,97.64344319590819,0.0,Completed,4.0,Good
2022-01-01,20:00,Guest_1152,403-497-2956,7,3,None,Reservation,Dinner,0,75,0.0,20.959143795106066,Cancelled,3.0,Poor
2022-01-01,12:30,Guest_0758,403-235-5887,7,8,None,Walk-in,Lunch,6,115,220.8275440032516,0.0,Completed,3.0,Good
2022-01-02,18:00,Guest_0658,403-981-6316,5,6,None,Walk-in,Dinner,12,82,293.13343930563826,0.0,Completed,5.0,Good
2022-01-02,13:00,Guest_3165,403-105-9479,2,1,None,Reservation,Lunch,0,68,307.8689902785571,0.0,Completed,3.0,Excellent
2022-01-02,12:30,Guest_3178,403-750-5906,1,3,None,Reservation,Lunch,0,78,351.9919206886892,0.0,Completed,5.0,Terrible
2022-01-02,13:00,Guest_2198,403-979-3806,3,9,Birthday,Reservation,Lunch,0,82,243.94275586436993,0.0,Completed,3.0,Excellent
2022-01-02,20:00,Guest_1107,403-224-4246,5,3,None,Reservation,Dinner,0,87,304.43898542348404,22.112613825977956,Completed,5.0,Average
2022-01-02,20:00,Guest_4702,403-474-7782,1,8,None,Reservation,Dinner,0,93,0.0,0.0,Cancelled,3.0,Poor
2022-01-02,18:00,Guest_4781,403-602-4792,6,1,None,Reservation,Dinner,0,113,239.00183333663222,0.48434413704838697,Completed,5.0,Average
2022-01-02,18:00,Guest_4587,403-530-9430,2,3,None,Reservation,Dinner,0,118,304.7322409016743,0.0,Completed,5.0,Excellent
2022-01-02,18:30,Guest_4014,403-674-8143,4,0,None,Reservation,Dinner,0,95,468.6792890761965,0.0,Completed,2.0,Good
2022-01-02,17:30,Guest_0926,403-762-7543,6,9,None,Walk-in,Dinner,28,96,267.9760335203822,0.0,Completed,4.0,Average
2022-01-02,20:00,Guest_3093,403-163-7308,3,6,Anniversary,Reservation,Dinner,0,65,233.47209679935136,0.0,Completed,2.0,Excellent
2022-01-02,18:00,Guest_3940,403-129-1044,3,6,None,Reservation,Dinner,0,113,448.73874896608237,0.0,Completed,5.0,Good
2022-01-02,18:30,Guest_3407,403-540-9339,1,3,Vegan,Reservation,Dinner,0,82,212.21352731369925,0.0,Completed,4.0,Good
2022-01-02,12:00,Guest_4714,403-706-5675,3,9,None,Reservation,Lunch,0,116,337.0558435488327,0.0,Completed,5.0,Poor
2022-01-03,20:00,Guest_0130,403-293-3363,1,6,None,Reservation,Dinner,0,60,94.7959307639488,0.0,Completed,4.0,Good
2022-01-03,11:30,Guest_4043,403-447-8135,1,4,None,Reservation,Lunch,0,83,77.4532143524277,0.0,Completed,3.0,Excellent
2022-01-03,12:30,Guest_0012,403-294-3537,3,0,None,Walk-in,Lunch,1,119,0.0,0.0,Cancelled,4.0,Excellent
2022-01-03,20:00,Guest_0444,403-397-6856,5,7,None,Reservation,Dinner,0,96,145.55028842910107,6.1003706788444525,Completed,5.0,Excellent
2022-01-03,12:00,Guest_3673,403-421-7155,1,9,Birthday,Reservation,Lunch,0,93,267.2210628846205,0.0,Completed,5.0,Average
2022-01-03,13:00,Guest_3480,403-485-6197,2,4,None,Reservation,Lunch,0,83,296.01334773335293,0.0,Completed,5.0,Excellent
2022-01-03,12:00,Guest_2362,403-431-7135,6,3,None,Walk-in,Lunch,15,95,188.54887190731222,0.0,Completed,5.0,Average
2022-01-03,18:00,Guest_0195,403-762-9671,5,4,None,Reservation,Dinner,0,73,69.11145916543992,34.231309713248315,Completed,5.0,Poor
2022-01-03,18:30,Guest_3630,403-899-6675,1,8,None,Reservation,Dinner,0,64,230.91224759970834,0.0,Completed,5.0,Poor
2022-01-03,11:30,Guest_1269,403-386-9976,4,2,Vegan,Reservation,Lunch,0,91,480.93424082266455,0.0,Completed,4.0,Good
2022-01-03,18:00,Guest_1535,403-508-8774,6,1,None,Reservation,Dinner,0,84,266.02131978953855,6.900774351002586,Completed,2.0,Poor
2022-01-03,18:00,Guest_1368,403-153-3575,3,3,None,Walk-in,Dinner,25,112,231.2166744475521,0.0,Completed,4.0,Average
2022-01-03,12:30,Guest_3745,403-230-6594,4,3,None,Walk-in,Lunch,3,110,378.61213528830706,0.0,Completed,4.0,Excellent
2022-01-03,19:30,Guest_1500,403-151-3158,5,5,None,Reservation,Dinner,0,67,98.6200517193832,23.92455350535946,Completed,4.0,Good
2022-01-03,13:00,Guest_4307,403-851-7578,4,6,None,Reservation,Lunch,0,86,285.4458747368937,0.0,Completed,3.0,Good
2022-01-03,13:00,Guest_4838,403-468-9105,4,0,None,Reservation,Lunch,0,111,214.1701115935094,0.0,Completed,4.0,Good
2022-01-03,19:30,Guest_1894,403-977-9106,3,4,None,Walk-in,Dinner,15,116,424.94196046850345,0.0,Completed,3.0,nan
2022-01-03,13:00,Guest_1099,403-579-7448,7,9,None,Walk-in,Lunch,22,104,313.0444009667562,0.0,Completed,5.0,Good
2022-01-03,18:00,Guest_2830,403-433-4618,6,0,Vegan,Reservation,Dinner,0,111,101.8157802778405,44.16368007131119,Completed,4.0,Good
2022-01-03,17:30,Guest_0244,403-605-7360,2,6,None,Walk-in,Dinner,8,69,320.81303027545124,0.0,Completed,4.0,Good
2022-01-03,13:00,Guest_0673,403-612-6867,5,1,Birthday,Reservation,Lunch,0,113,0.0,27.618306890861717,Cancelled,4.0,Poor
2022-01-03,12:30,Guest_3837,403-391-9947,3,8,None,Reservation,Lunch,0,75,441.47202480396004,0.0,Completed,4.0,Average
2022-01-03,18:30,Guest_4400,403-138-4715,6,5,None,Reservation,Dinner,0,89,188.1375269940582,9.759858228594126,Completed,4.0,Good
2022-01-03,20:00,Guest_2647,403-189-7533,6,7,None,Reservation,Dinner,0,77,471.1717617118518,33.61253436470973,Completed,4.0,Poor
2022-01-04,18:30,Guest_0905,403-345-1404,4,6,None,Reservation,Dinner,0,112,339.78046075142606,0.0,Completed,4.0,Excellent
2022-01-04,12:30,Guest_1159,403-782-1421,5,9,None,Reservation,Lunch,0,117,139.73521899134076,13.22359083335954,Completed,4.0,Excellent
2022-01-04,12:00,Guest_3244,403-482-3181,2,8,None,Reservation,Lunch,0,118,293.5012211954801,0.0,Completed,4.0,Excellent
2022-01-04,18:30,Guest_4529,403-364-5524,6,4,None,Walk-in,Dinner,26,69,218.21364899015109,0.0,Completed,4.0,Excellent
2022-01-04,12:30,Guest_4874,403-447-9220,7,2,Birthday,Reservation,Lunch,0,72,447.6041277665857,13.530999734679833,Completed,3.0,Good
2022-01-04,12:30,Guest_4693,403-550-1556,7,2,None,Reservation,Lunch,0,72,462.8943543441851,38.89056222292254,Completed,5.0,Terrible
2022-01-04,11:30,Guest_1452,403-100-3313,3,7,None,Reservation,Lunch,0,71,408.41797519831135,0.0,Completed,5.0,Average
2022-01-04,13:00,Guest_2937,403-890-6649,6,1,None,Reservation,Lunch,0,87,234.8549644998253,24.48220380160163,Completed,4.0,Excellent
2022-01-04,11:30,Guest_0814,403-348-6089,3,9,None,Walk-in,Lunch,15,98,156.61579725352556,0.0,Completed,2.0,Excellent
2022-01-04,12:00,Guest_1090,403-912-5270,7,1,None,Reservation,Lunch,0,78,158.30173164071888,43.71536670685403,Completed,5.0,Excellent
2022-01-04,19:30,Guest_4801,403-662-8082,7,5,Anniversary,Walk-in,Dinner,17,71,239.0049519330483,0.0,Completed,4.0,Poor
2022-01-04,13:00,Guest_2301,403-225-6296,5,9,None,Reservation,Lunch,0,99,231.23276813607384,25.980583790150373,Completed,5.0,Excellent
2022-01-04,12:30,Guest_4540,403-784-3887,4,6,None,Walk-in,Lunch,7,80,143.74192550383307,0.0,Completed,4.0,Average
2022-01-04,18:30,Guest_1376,403-257-6708,3,1,None,Reservation,Dinner,0,116,191.75472823254108,0.0,Completed,3.0,Excellent
2022-01-04,19:00,Guest_4531,403-781-6254,2,3,None,Reservation,Dinner,0,112,408.3096242553742,0.0,Completed,5.0,Average
2022-01-04,11:30,Guest_3732,403-200-7772,4,0,None,Reservation,Lunch,0,117,0.0,0.0,Cancelled,4.0,Good
2022-01-04,18:00,Guest_0902,403-174-2677,2,7,Vegan,Reservation,Dinner,0,92,0.0,0.0,Cancelled,4.0,Average
2022-01-04,19:00,Guest_1059,403-801-3048,4,8,Birthday,Walk-in,Dinner,10,93,318.6253505359277,0.0,Completed,5.0,Good
2022-01-04,18:00,Guest_2889,403-740-8209,3,0,None,Reservation,Dinner,0,114,246.19783125676364,0.0,Completed,4.0,Average
2022-01-04,18:00,Guest_1515,403-650-2001,2,8,None,Reservation,Dinner,0,111,322.17774321316153,0.0,Completed,4.0,Poor
2022-01-04,19:30,Guest_1412,403-308-1271,7,2,None,Walk-in,Dinner,4,79,448.6612979738412,0.0,Completed,5.0,Excellent
2022-01-04,20:00,Guest_3261,403-194-5712,3,8,Vegan,Reservation,Dinner,0,96,436.6002909411124,0.0,Completed,4.0,Average
2022-01-04,20:00,Guest_4088,403-172-1198,2,5,None,Reservation,Dinner,0,99,87.67622203040679,0.0,Completed,4.0,Good
2022-01-04,17:30,Guest_4087,403-834-7232,7,1,None,Reservation,Dinner,0,104,378.1894102147428,28.753028672940733,Completed,3.0,Good
2022-01-04,20:00,Guest_3171,403-693-3933,4,4,None,Reservation,Dinner,0,78,464.68102635833804,0.0,Completed,5.0,Poor
2022-01-04,19:30,Guest_1516,403-646-7326,6,0,None,Reservation,Dinner,0,89,78.09409727500115,24.30868270524415,Completed,2.0,Excellent
2022-01-05,13:00,Guest_1578,403-372-3220,5,6,None,Walk-in,Lunch,24,65,475.26082906125595,0.0,Completed,4.0,Good
2022-01-05,11:30,Guest_2379,403-637-8037,2,2,Anniversary,Reservation,Lunch,0,110,197.9701780318742,0.0,Completed,4.0,Poor
2022-01-05,19:00,Guest_1812,403-211-4797,3,6,Vegan,Walk-in,Dinner,7,115,331.2408867692158,0.0,Completed,4.0,Good
2022-01-05,18:30,Guest_2331,403-100-2754,6,6,None,Reservation,Dinner,0,70,336.22130405260697,20.089656755471225,Completed,4.0,Good
2022-01-05,11:30,Guest_3811,403-531-2412,3,3,None,Reservation,Lunch,0,73,363.6608747019348,0.0,Completed,4.0,Poor
2022-01-05,19:00,Guest_3700,403-762-6969,2,5,None,Reservation,Dinner,0,65,438.1234283307134,0.0,Completed,3.0,Average
2022-01-05,19:30,Guest_0984,403-587-9543,5,3,None,Walk-in,Dinner,29,74,204.84122803224895,0.0,Completed,4.0,Good
2022-01-05,18:30,Guest_3999,403-803-5645,6,7,None,Reservation,Dinner,0,96,317.9148665705927,20.757282699637287,Completed,4.0,Poor
2022-01-05,12:30,Guest_3557,403-883-7449,2,0,Vegan,Reservation,Lunch,0,114,280.79363403737045,0.0,Completed,3.0,Average
2022-01-05,18:30,Guest_3732,403-547-2551,3,8,None,Reservation,Dinner,0,101,50.10216719821499,0.0,Completed,5.0,Poor
2022-01-05,18:00,Guest_2722,403-538-3925,1,1,None,Reservation,Dinner,0,60,280.576769329448,0.0,Completed,3.0,Good
2022-01-05,11:30,Guest_2332,403-205-2128,7,3,None,Reservation,Lunch,0,93,0.0,9.493766454795999,Cancelled,1.0,Good
2022-01-05,12:00,Guest_2742,403-212-1228,3,6,None,Walk-in,Lunch,17,82,64.27512131721402,0.0,Completed,4.0,Excellent
2022-01-05,18:30,Guest_0146,403-717-8942,6,5,None,Walk-in,Dinner,16,111,170.18375335534958,0.0,Completed,4.0,Poor
2022-01-05,20:00,Guest_2739,403-297-4199,4,7,Birthday,Walk-in,Dinner,21,108,291.9130815616546,0.0,Completed,3.0,Good
2022-01-05,19:30,Guest_0951,403-927-9802,6,5,None,Walk-in,Dinner,18,100,427.99899227195453,0.0,Completed,3.0,Average
2022-01-05,20:00,Guest_4369,403-393-5493,7,8,None,Walk-in,Dinner,2,115,196.8269682060259,0.0,Completed,1.0,Poor
2022-01-05,11:30,Guest_4916,403-952-3757,5,0,None,Reservation,Lunch,0,112,248.0319837799243,24.14256372050524,Completed,3.0,Excellent
2022-01-05,13:00,Guest_0586,403-803-1534,7,4,None,Reservation,Lunch,0,105,389.54161215610725,22.272646486714393,Completed,4.0,Average
2022-01-05,12:00,Guest_0125,403-180-2861,6,8,None,Reservation,Lunch,0,112,406.9078420833754,11.0254393568324,Completed,3.0,nan
2022-01-06,18:30,Guest_3919,403-143-1026,2,0,Birthday,Reservation,Dinner,0,86,113.53957859173322,0.0,Completed,5.0,Excellent
2022-01-06,18:30,Guest_0806,403-730-4791,6,9,None,Reservation,Dinner,0,88,472.1288628056591,45.88236389522167,Completed,5.0,Average
2022-01-06,12:00,Guest_3115,403-716-4644,6,3,None,Reservation,Lunch,0,66,359.96472661549416,27.596818053023327,Completed,3.0,Good
2022-01-06,12:30,Guest_4079,403-781-5151,1,0,Anniversary,Reservation,Lunch,0,117,99.43840118335233,0.0,Completed,5.0,Good
2022-01-06,18:30,Guest_2495,403-814-3121,1,4,None,Reservation,Dinner,0,100,0.0,0.0,Cancelled,2.0,Good
2022-01-06,11:30,Guest_4824,403-328-5920,2,8,None,Walk-in,Lunch,3,76,306.68427113163875,0.0,Completed,4.0,Average
2022-01-06,17:30,Guest_2709,403-794-1924,2,0,Anniversary,Reservation,Dinner,0,96,140.5687046605126,0.0,Completed,5.0,Excellent
2022-01-06,13:00,Guest_4655,403-206-8246,3,4,None,Reservation,Lunch,0,85,203.9596700503527,0.0,Completed,5.0,Good
2022-01-06,17:30,Guest_3203,403-549-1786,1,0,None,Reservation,Dinner,0,62,431.8122984828191,0.0,Completed,4.0,Poor
2022-01-06,17:30,Guest_3702,403-874-3349,4,7,None,Reservation,Dinner,0,108,0.0,0.0,Cancelled,2.0,Good
2022-01-06,19:00,Guest_3229,403-586-7031,4,6,None,Reservation,Dinner,0,85,268.11028262133834,0.0,Completed,1.0,Good
2022-01-06,12:30,Guest_0068,403-864-3506,2,0,None,Reservation,Lunch,0,72,356.3025679515817,0.0,Completed,4.0,Good
2022-01-06,13:00,Guest_1960,403-677-2480,7,6,None,Reservation,Lunch,0,61,377.65239680127485,30.012570504979152,Completed,5.0,Poor
2022-01-06,13:00,Guest_0078,403-883-3721,4,5,None,Reservation,Lunch,0,77,417.0854212817544,0.0,Completed,4.0,Good
2022-01-06,18:30,Guest_4576,403-659-2797,4,4,Birthday,Walk-in,Dinner,26,64,243.6559395674902,0.0,Completed,3.0,Average
2022-01-06,17:30,Guest_1033,403-370-7085,1,9,Birthday,Reservation,Dinner,0,70,467.86859668878725,0.0,Completed,5.0,Good
2022-01-06,18:30,Guest_2826,403-751-1363,7,1,Birthday,Walk-in,Dinner,16,62,289.61190854775384,0.0,Completed,4.0,Average
2022-01-07,12:00,Guest_4310,403-220-4203,2,4,Vegan,Reservation,Lunch,0,69,136.41051611135504,0.0,Completed,4.0,Average
2022-01-07,19:30,Guest_2568,403-861-2674,4,4,None,Walk-in,Dinner,15,67,223.49910398059123,0.0,Completed,4.0,Poor
2022-01-07,12:00,Guest_0854,403-760-3283,2,6,None,Reservation,Lunch,0,68,381.7095862804876,0.0,Completed,1.0,Good
2022-01-07,20:00,Guest_1470,403-477-8557,1,2,None,Reservation,Dinner,0,69,201.77010322440185,0.0,Completed,3.0,Good
2022-01-07,18:30,Guest_2008,403-900-9119,4,8,None,Walk-in,Dinner,9,86,422.58940857601317,0.0,Completed,4.0,nan
2022-01-07,19:30,Guest_4939,403-890-1737,1,3,None,Reservation,Dinner,0,90,0.0,0.0,Cancelled,4.0,Poor
2022-01-07,12:00,Guest_2277,403-325-9787,3,2,None,Reservation,Lunch,0,105,327.74881234750615,0.0,Completed,5.0,Excellent
2022-01-07,18:30,Guest_0436,403-276-1138,2,9,None,Reservation,Dinner,0,72,178.34261120618632,0.0,Completed,4.0,Good
2022-01-07,12:30,Guest_0954,403-378-4381,1,7,None,Reservation,Lunch,0,77,324.66335351817065,0.0,Completed,4.0,Excellent
2022-01-07,12:30,Guest_2664,403-990-4326,4,1,Birthday,Walk-in,Lunch,12,96,85.87178293427824,0.0,Completed,4.0,Terrible
2022-01-07,19:00,Guest_0254,403-287-9520,7,4,None,Reservation,Dinner,0,111,109.0795874021709,15.484585555259455,Completed,3.0,Terrible
2022-01-07,19:00,Guest_2972,403-515-9446,7,3,None,Reservation,Dinner,0,70,474.89397725574844,49.77554840079332,Completed,4.0,Good
2022-01-07,11:30,Guest_4315,403-586-3508,7,3,None,Walk-in,Lunch,9,84,0.0,0.0,Cancelled,4.0,Good
2022-01-07,11:30,Guest_1756,403-620-4908,6,3,None,Walk-in,Lunch,4,93,388.1404928890862,0.0,Completed,5.0,Average
2022-01-07,20:00,Guest_0422,403-935-2204,1,6,None,Walk-in,Dinner,18,69,0.0,0.0,Cancelled,3.0,Good
2022-01-07,12:30,Guest_4278,403-406-3569,4,5,None,Reservation,Lunch,0,99,232.316849155283,0.0,Completed,3.0,Average
2022-01-07,19:30,Guest_0573,403-408-5753,3,2,None,Reservation,Dinner,0,93,227.18981370443302,0.0,Completed,4.0,Good
2022-01-08,20:00,Guest_3408,403-687-8795,5,1,None,Reservation,Dinner,0,85,479.2753456221992,43.27856100473822,Completed,4.0,Average
2022-01-08,20:00,Guest_4657,403-545-7437,7,5,Birthday,Reservation,Dinner,0,63,53.30887004949214,34.58600570673444,Completed,4.0,Excellent
2022-01-08,19:00,Guest_2608,403-150-6930,2,6,None,Walk-in,Dinner,15,116,438.96481990518794,0.0,Completed,4.0,Good
2022-01-08,13:00,Guest_0707,403-313-7997,2,8,None,Reservation,Lunch,0,71,237.72392553906593,0.0,Completed,5.0,Excellent
2022-01-08,18:30,Guest_3318,403-183-7811,5,4,None,Reservation,Dinner,0,72,326.77908343601507,8.783604997795535,Completed,4.0,Average
2022-01-08,12:30,Guest_0365,403-399-7571,5,3,None,Walk-in,Lunch,22,69,198.15377690362754,0.0,Completed,2.0,Good
